State Name,In Person Registration Deadline,Postmarked Mail Registration Deadline,Online Registration,Link to Registration,Link to Check Polling Place
New Mexico,October 6,October 6,October 6,https://www.vote.org/register-to-vote/new-mexico/,https://voterportal.servis.sos.state.nm.us/WhereToVoteAddress.aspx
New York,October 9,October 9,October 9,https://www.vote.org/register-to-vote/new-york/,https://voterlookup.elections.ny.gov/
North Carolina,October 9,October 9,October 9,https://www.vote.org/register-to-vote/north-carolina/,https://vt.ncsbe.gov/PPLkup/
North Dakota,Bring ID to Polling Station,Bring ID to Polling Station,Bring ID to Polling Station,#,https://vip.sos.nd.gov/wheretovote.aspx
Ohio,October 4,October 4,October 4,https://www.vote.org/register-to-vote/ohio/,https://voterlookup.ohiosos.gov/VoterLookup.aspx
Oklahoma,October 9,October 9,N/A,#,https://okvoterportal.okelections.us/
Oregon,October 13,October 13,October 13,https://www.vote.org/register-to-vote/oregon/,https://sos.oregon.gov/voting/Pages/drop-box-locator.aspx
Pennsylvania,October 19,October 19,October 19,https://www.vote.org/register-to-vote/pennsylvania/,https://www.pavoterservices.pa.gov/Pages/PollingPlaceInfo.aspx
Rhode Island,October 4,October 4,October 4,https://www.vote.org/register-to-vote/rhode-island/,https://vote.sos.ri.gov/Home/PollingPlaces?ActiveFlag=2
South Carolina,October 2,October 5,October 4,https://www.vote.org/register-to-vote/south-carolina/,https://info.scvotes.sc.gov/eng/voterinquiry/VoterInformationRequest.aspx?PageMode=VoterInfo
South Dakota,October 19,October 19,N/A,#,https://vip.sdsos.gov/viplogin.aspx
Tennessee,October 5,October 5,October 4,https://www.vote.org/register-to-vote/tennessee/,https://web.go-vote-tn.elections.tn.gov/
Texas,October 5,October 5,N/A,#,https://teamrv-mvp.sos.texas.gov/MVP/mvp.do
Utah,October 27,October 5,October 27,https://www.vote.org/register-to-vote/utah/,https://votesearch.utah.gov/voter-search/search/search-by-address/how-and-where-can-i-vote
Vermont,November 3,November 3,October 30,https://www.vote.org/register-to-vote/vermont/,https://mvp.sec.state.vt.us/
Virginia,October 12,October 12,October 12,https://www.vote.org/register-to-vote/virginia/,https://www.elections.virginia.gov/citizen-portal/index.html
Washington,November 3,October 26,October 26,https://www.vote.org/register-to-vote/washington/,https://www.sos.wa.gov/elections/auditors/
West Virginia,October 13,October 13,October 13,https://www.vote.org/register-to-vote/west-virginia/,https://services.sos.wv.gov/Elections/Voter/FindMyPollingPlace
Wisconsin,October 30,October 14,October 14,https://www.vote.org/register-to-vote/wisconsin/,https://myvote.wi.gov/en-US/FindMyPollingPlace
Wyoming,October 20,October 20,N/A,#,https://soswy.state.wy.us/Elections/PollPlace/Default.aspx
